epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0691,1.1674,2.46454,1.49897,0.36276,0.5094,0.43118,0.31737,1.00231,1.55937,1.31959,0.000332126,0.000332126,0.000332126
2,70.8083,1.07628,1.72984,1.37897,0.4324,0.45356,0.41984,0.26863,1.2465,1.8477,1.51129,0.000652283,0.000652283,0.000652283
3,107.218,1.05106,1.49041,1.34733,0.46836,0.677,0.56572,0.39873,1.02834,1.31212,1.34785,0.00095924,0.00095924,0.00095924
4,152.78,1.02989,1.34177,1.32028,0.60202,0.66913,0.68651,0.47766,1.05334,1.16569,1.35368,0.0009406,0.0009406,0.0009406
5,202.12,0.96465,1.20529,1.28074,0.64902,0.7075,0.69697,0.47304,0.99924,1.06582,1.33496,0.0009208,0.0009208,0.0009208
6,248.929,0.9417,1.13536,1.26745,0.70956,0.76171,0.77825,0.55187,0.87152,0.90752,1.22223,0.000901,0.000901,0.000901
7,297.205,0.90253,1.06957,1.23869,0.63898,0.66469,0.67022,0.46676,0.94824,1.11107,1.28725,0.0008812,0.0008812,0.0008812
8,342.413,0.87357,1.02767,1.22634,0.80125,0.73825,0.82479,0.64435,0.82648,0.83569,1.18793,0.0008614,0.0008614,0.0008614
9,392.296,0.85555,0.96018,1.20318,0.68499,0.73089,0.76295,0.58065,0.87449,1.00219,1.24491,0.0008416,0.0008416,0.0008416
10,442.567,0.82711,0.93132,1.19044,0.85081,0.73599,0.85889,0.65516,0.8164,0.76016,1.18804,0.0008218,0.0008218,0.0008218
11,494.124,0.82011,0.91054,1.18621,0.83984,0.77078,0.87585,0.6795,0.78301,0.75816,1.14263,0.000802,0.000802,0.000802
12,544.122,0.79319,0.87698,1.17059,0.86809,0.78755,0.88807,0.67986,0.77363,0.75608,1.13751,0.0007822,0.0007822,0.0007822
13,576.795,0.77513,0.84365,1.15838,0.84445,0.76089,0.86985,0.68503,0.77937,0.78032,1.15297,0.0007624,0.0007624,0.0007624
14,609.37,0.75084,0.81151,1.14605,0.80382,0.793,0.84989,0.66232,0.78764,0.81741,1.1625,0.0007426,0.0007426,0.0007426
15,642.652,0.75115,0.79237,1.14009,0.86728,0.82663,0.90882,0.73363,0.70494,0.64557,1.09509,0.0007228,0.0007228,0.0007228
16,675.973,0.73882,0.78218,1.13865,0.89225,0.83325,0.92069,0.74521,0.69723,0.60358,1.08927,0.000703,0.000703,0.000703
17,709.197,0.73052,0.77138,1.13567,0.88016,0.83133,0.90572,0.70803,0.78683,0.64352,1.13276,0.0006832,0.0006832,0.0006832
18,742.481,0.70675,0.73732,1.11736,0.87493,0.82213,0.90855,0.73968,0.70737,0.62839,1.09507,0.0006634,0.0006634,0.0006634
19,775.989,0.70179,0.71587,1.11305,0.86364,0.86034,0.9225,0.75996,0.66101,0.58275,1.05223,0.0006436,0.0006436,0.0006436
20,809.394,0.68596,0.68694,1.10491,0.88543,0.86408,0.91934,0.70918,0.78083,0.63297,1.14365,0.0006238,0.0006238,0.0006238
21,843.046,0.68679,0.69008,1.10102,0.9077,0.83831,0.92892,0.762,0.65665,0.5933,1.0562,0.000604,0.000604,0.000604
22,876.455,0.67263,0.6748,1.0928,0.87721,0.86789,0.92522,0.76551,0.66875,0.59137,1.05618,0.0005842,0.0005842,0.0005842
23,909.51,0.65824,0.66374,1.08613,0.91147,0.85816,0.9367,0.78045,0.66116,0.56661,1.05174,0.0005644,0.0005644,0.0005644
24,953.54,0.65358,0.65982,1.08325,0.90898,0.86316,0.94235,0.78045,0.67491,0.55676,1.073,0.0005446,0.0005446,0.0005446
25,1007.52,0.64792,0.64329,1.0794,0.92666,0.84854,0.93338,0.75625,0.69849,0.55595,1.07753,0.0005248,0.0005248,0.0005248
26,1051.09,0.63834,0.62681,1.07388,0.92069,0.84085,0.93032,0.75736,0.7189,0.58712,1.10077,0.000505,0.000505,0.000505
27,1085.68,0.62934,0.61453,1.06988,0.90307,0.88713,0.94131,0.75117,0.76301,0.5681,1.13952,0.0004852,0.0004852,0.0004852
28,1134,0.61699,0.61421,1.06573,0.88911,0.9021,0.94329,0.79377,0.64211,0.53565,1.03879,0.0004654,0.0004654,0.0004654
29,1188.03,0.61773,0.59854,1.06086,0.93251,0.84641,0.93452,0.74924,0.72069,0.53808,1.10424,0.0004456,0.0004456,0.0004456
30,1241.11,0.60616,0.58327,1.0587,0.93482,0.87175,0.95539,0.80403,0.63475,0.49673,1.04589,0.0004258,0.0004258,0.0004258
31,1296.53,0.5972,0.57873,1.057,0.91665,0.89382,0.95025,0.79613,0.63373,0.46708,1.04184,0.000406,0.000406,0.000406
32,1351.56,0.59643,0.57484,1.0527,0.91957,0.88291,0.94459,0.78251,0.65952,0.50673,1.06531,0.0003862,0.0003862,0.0003862
33,1399.88,0.58095,0.5638,1.05018,0.90589,0.90339,0.95524,0.8234,0.57971,0.46354,1.01727,0.0003664,0.0003664,0.0003664
34,1447.55,0.58048,0.56099,1.04321,0.92706,0.87884,0.95609,0.81693,0.60485,0.48586,1.02533,0.0003466,0.0003466,0.0003466
35,1492.15,0.57361,0.54692,1.04394,0.95145,0.88825,0.95964,0.82266,0.58068,0.45633,1.00944,0.0003268,0.0003268,0.0003268
36,1547.46,0.55741,0.52942,1.03404,0.92939,0.87813,0.94247,0.78485,0.64128,0.52525,1.0646,0.000307,0.000307,0.000307
37,1602.77,0.55312,0.52633,1.0332,0.94318,0.87959,0.95676,0.81299,0.60638,0.46422,1.02749,0.0002872,0.0002872,0.0002872
38,1655.94,0.54087,0.51303,1.02523,0.93249,0.91177,0.95719,0.82208,0.58498,0.45243,1.01182,0.0002674,0.0002674,0.0002674
39,1712.05,0.54514,0.50917,1.02269,0.91016,0.9034,0.95138,0.78917,0.6737,0.499,1.09329,0.0002476,0.0002476,0.0002476
40,1747.82,0.53097,0.50204,1.02141,0.93051,0.91241,0.96226,0.82257,0.59635,0.48385,1.03296,0.0002278,0.0002278,0.0002278
41,1806.77,0.46649,0.3143,1.01054,0.94081,0.91472,0.9549,0.82038,0.5907,0.47051,1.02205,0.000208,0.000208,0.000208
42,1854.39,0.44278,0.29276,0.99598,0.94733,0.90364,0.96085,0.81625,0.60731,0.43529,1.0365,0.0001882,0.0001882,0.0001882
43,1898.64,0.42671,0.27809,0.98604,0.92958,0.91623,0.95945,0.827,0.58481,0.42674,1.017,0.0001684,0.0001684,0.0001684
44,1955.59,0.41372,0.26938,0.97346,0.92557,0.93174,0.95541,0.83431,0.55997,0.42641,1.00308,0.0001486,0.0001486,0.0001486
45,2003.03,0.40989,0.26608,0.97057,0.93725,0.89961,0.95917,0.8303,0.59339,0.44194,1.03794,0.0001288,0.0001288,0.0001288
46,2044,0.39482,0.25865,0.95943,0.92162,0.9255,0.96593,0.83734,0.58693,0.38746,1.02566,0.000109,0.000109,0.000109
47,2095.59,0.39032,0.24927,0.96005,0.94046,0.9241,0.96996,0.85244,0.55365,0.39021,1.00213,8.92e-05,8.92e-05,8.92e-05
48,2155.25,0.37714,0.24523,0.95236,0.93219,0.92887,0.96829,0.84554,0.56409,0.38703,1.00955,6.94e-05,6.94e-05,6.94e-05
49,2209.4,0.3696,0.23829,0.94234,0.94519,0.9178,0.9675,0.85225,0.55082,0.38166,1.00631,4.96e-05,4.96e-05,4.96e-05
50,2255.95,0.36452,0.23434,0.94348,0.95157,0.91389,0.9703,0.85676,0.5513,0.37195,1.00575,2.98e-05,2.98e-05,2.98e-05
